TransactionID,Amount,SenderCounty,ReceiverCounty,TimeOfDay,TransactionType,AccountAgeMonths,TransactionsLast24Hours,DeviceChangedRecently,NewLocationLogin,FailedPinAttempts,IsWeekend,Fraudulent
TXN000064,445848,Machakos,Mombasa,16,Till,88,20,Yes,Yes,5,No,Yes
TXN000065,6683,Kakamega,Kisumu,13,Paybill,109,14,No,Yes,6,No,Yes
TXN000068,176418,Machakos,Kiambu,10,Till,4,16,No,Yes,7,Yes,Yes
TXN000069,461591,Mombasa,Nakuru,23,Withdraw,77,23,No,Yes,8,Yes,Yes
TXN000070,256205,Nairobi,Mombasa,9,Paybill,72,25,Yes,No,7,No,Yes
TXN000074,189255,Nairobi,Nyeri,9,Paybill,23,10,Yes,Yes,4,Yes,Yes
TXN000077,79598,Nyeri,Uasin Gishu,19,Paybill,20,26,No,Yes,3,Yes,Yes
TXN000079,319672,Kisumu,Nakuru,5,Send Money,95,4,Yes,Yes,4,Yes,Yes
TXN000080,82118,Nakuru,Kiambu,22,Till,1,14,No,No,4,Yes,Yes
TXN000081,368617,Uasin Gishu,Mombasa,17,Paybill,111,15,Yes,Yes,4,Yes,Yes
TXN000086,306931,Uasin Gishu,Machakos,10,Send Money,56,21,No,Yes,7,No,Yes
TXN000088,164947,Nyeri,Kakamega,13,Send Money,33,11,Yes,No,8,Yes,Yes
TXN000091,289588,Kisumu,Kakamega,22,Till,53,3,Yes,Yes,7,Yes,Yes
TXN000093,99984,Machakos,Nyeri,8,Send Money,118,20,Yes,Yes,4,No,Yes
TXN000094,148339,Machakos,Machakos,17,Withdraw,93,10,No,Yes,7,No,Yes
TXN000095,238781,Uasin Gishu,Nairobi,10,Withdraw,120,11,Yes,Yes,6,Yes,Yes
TXN000097,456023,Nairobi,Kisumu,13,Paybill,13,28,No,Yes,8,No,Yes
TXN000101,153859,Meru,Kisumu,5,Paybill,46,12,No,Yes,3,No,Yes
TXN000102,41452,Nakuru,Kakamega,20,Till,79,28,No,Yes,7,Yes,Yes
TXN000103,240997,Mombasa,Kakamega,11,Till,33,22,Yes,No,4,Yes,Yes
TXN000107,355393,Kakamega,Nairobi,18,Till,97,24,Yes,Yes,0,No,Yes
TXN000109,278369,Kiambu,Machakos,3,Withdraw,65,30,No,Yes,4,No,Yes
TXN000110,39528,Mombasa,Uasin Gishu,0,Till,19,25,Yes,No,8,No,Yes
TXN000114,194566,Kakamega,Meru,13,Till,86,24,No,Yes,6,Yes,Yes
TXN000115,17202,Machakos,Mombasa,21,Till,89,12,Yes,No,7,Yes,Yes
TXN000116,285506,Nakuru,Mombasa,14,Send Money,116,21,No,Yes,6,No,Yes
TXN000117,347531,Kisumu,Meru,6,Send Money,28,21,Yes,Yes,5,Yes,Yes
TXN000118,435113,Kisumu,Meru,0,Till,98,18,Yes,Yes,3,No,Yes
TXN000121,249740,Meru,Nairobi,23,Till,58,25,No,Yes,7,Yes,Yes
TXN000122,240196,Mombasa,Kakamega,22,Withdraw,83,1,Yes,No,6,No,Yes
TXN000125,225530,Uasin Gishu,Uasin Gishu,23,Send Money,58,29,Yes,No,5,No,Yes
TXN000127,226477,Meru,Nyeri,17,Till,13,24,No,Yes,8,Yes,Yes
TXN000129,303045,Machakos,Nyeri,11,Send Money,65,7,Yes,No,3,Yes,Yes
TXN000130,399874,Meru,Kiambu,0,Paybill,36,19,Yes,No,8,Yes,Yes
TXN000132,36532,Uasin Gishu,Uasin Gishu,14,Till,19,24,Yes,Yes,8,Yes,Yes
TXN000136,4080,Machakos,Mombasa,0,Withdraw,27,10,Yes,Yes,4,No,Yes
TXN000137,391700,Nyeri,Nyeri,21,Till,56,6,Yes,No,8,Yes,Yes
TXN000140,436271,Nakuru,Uasin Gishu,18,Withdraw,89,30,No,Yes,6,Yes,Yes
TXN000143,91013,Meru,Meru,14,Till,78,5,Yes,Yes,7,No,Yes
TXN000146,338040,Kakamega,Meru,20,Paybill,111,28,Yes,No,7,Yes,Yes
TXN000147,168622,Machakos,Mombasa,16,Paybill,78,16,Yes,Yes,7,Yes,Yes
TXN000151,67657,Machakos,Kisumu,21,Send Money,77,23,Yes,No,8,No,Yes
TXN000152,338753,Kisumu,Nakuru,10,Withdraw,86,14,No,Yes,5,No,Yes
TXN000153,100716,Nyeri,Nyeri,23,Send Money,29,5,Yes,Yes,4,Yes,Yes
TXN000155,22957,Nakuru,Nyeri,7,Till,53,12,Yes,No,4,No,Yes
TXN000156,424001,Kiambu,Uasin Gishu,16,Withdraw,101,16,Yes,No,7,No,Yes
TXN000158,149505,Uasin Gishu,Mombasa,7,Withdraw,11,25,Yes,No,7,Yes,Yes
TXN000161,481029,Mombasa,Nairobi,8,Paybill,107,16,Yes,No,7,Yes,Yes
TXN000162,437811,Kiambu,Mombasa,1,Paybill,20,18,No,Yes,4,Yes,Yes
TXN000164,376774,Meru,Uasin Gishu,5,Send Money,19,10,No,Yes,5,Yes,Yes
TXN000165,274506,Uasin Gishu,Machakos,8,Send Money,47,3,Yes,No,7,Yes,Yes
TXN000168,105741,Nyeri,Uasin Gishu,17,Withdraw,6,26,Yes,Yes,5,No,Yes
TXN000169,132859,Machakos,Kiambu,3,Till,5,25,Yes,No,5,Yes,Yes
TXN000171,420082,Nyeri,Kiambu,10,Send Money,11,24,No,Yes,6,Yes,Yes
TXN000175,497844,Kakamega,Mombasa,18,Paybill,73,2,Yes,No,5,No,Yes
TXN000181,421400,Kakamega,Nyeri,13,Withdraw,71,5,Yes,Yes,4,No,Yes
TXN000183,460353,Mombasa,Nyeri,4,Till,107,25,Yes,Yes,6,Yes,Yes
TXN000184,86377,Mombasa,Kiambu,6,Till,21,11,Yes,No,8,No,Yes
TXN000186,432711,Meru,Uasin Gishu,19,Send Money,111,1,Yes,Yes,4,Yes,Yes
TXN000190,167358,Kisumu,Mombasa,1,Till,31,15,Yes,No,7,Yes,Yes
TXN000195,210070,Mombasa,Uasin Gishu,16,Withdraw,7,19,Yes,No,8,No,Yes
TXN000196,400817,Machakos,Machakos,17,Till,71,9,Yes,Yes,1,No,Yes
TXN000198,78137,Uasin Gishu,Meru,23,Till,78,29,Yes,No,5,Yes,Yes
TXN000200,218437,Nairobi,Meru,15,Paybill,75,10,Yes,No,4,Yes,Yes
TXN000201,274898,Meru,Mombasa,6,Send Money,81,24,No,Yes,3,Yes,Yes
TXN000202,231281,Nyeri,Meru,15,Send Money,41,14,Yes,No,3,No,Yes
TXN000203,370079,Machakos,Kisumu,14,Till,18,17,Yes,No,7,No,Yes
TXN000205,493659,Kakamega,Machakos,17,Till,39,25,No,Yes,7,No,Yes
TXN000208,72020,Nakuru,Nairobi,3,Withdraw,14,20,Yes,Yes,0,Yes,Yes
TXN000209,173218,Uasin Gishu,Kakamega,15,Paybill,92,16,Yes,Yes,0,Yes,Yes
TXN000211,462600,Kiambu,Nairobi,0,Till,108,6,Yes,No,7,Yes,Yes
TXN000213,101138,Kisumu,Nairobi,23,Till,104,4,No,Yes,7,No,Yes
TXN000214,414639,Nyeri,Machakos,2,Withdraw,38,19,Yes,Yes,6,No,Yes
TXN000215,350932,Nairobi,Kiambu,12,Paybill,13,6,Yes,No,5,Yes,Yes
TXN000220,86314,Mombasa,Nyeri,14,Send Money,42,28,No,Yes,3,No,Yes
TXN000222,428106,Machakos,Mombasa,17,Send Money,1,24,Yes,Yes,0,No,Yes
TXN000223,490040,Kisumu,Kisumu,20,Withdraw,115,3,No,Yes,4,No,Yes
TXN000225,62247,Nairobi,Kiambu,14,Withdraw,23,18,No,Yes,3,Yes,Yes
TXN000226,278936,Kisumu,Kiambu,6,Send Money,49,27,Yes,Yes,7,No,Yes
TXN000227,16941,Mombasa,Mombasa,19,Send Money,104,22,No,Yes,3,Yes,Yes
TXN000228,234113,Kakamega,Nakuru,17,Paybill,77,22,Yes,Yes,0,No,Yes
TXN000229,395565,Nakuru,Meru,10,Till,111,25,Yes,Yes,8,No,Yes
TXN000230,124255,Kiambu,Nairobi,17,Paybill,39,29,Yes,Yes,6,No,Yes
TXN000231,328250,Nyeri,Machakos,22,Withdraw,87,14,No,Yes,5,No,Yes
TXN000232,214095,Nakuru,Nakuru,9,Paybill,20,10,No,Yes,8,No,Yes
TXN000233,422508,Uasin Gishu,Nakuru,8,Paybill,60,30,Yes,No,6,Yes,Yes
TXN000235,458078,Kiambu,Nairobi,6,Paybill,10,7,Yes,No,3,No,Yes
TXN000236,388796,Nakuru,Nyeri,10,Till,16,24,No,Yes,3,No,Yes
TXN000238,420957,Uasin Gishu,Nairobi,18,Paybill,93,16,No,Yes,5,No,Yes
TXN000241,88793,Nyeri,Nairobi,2,Send Money,18,24,No,Yes,8,Yes,Yes
TXN000242,400783,Nairobi,Nakuru,16,Withdraw,1,14,Yes,Yes,1,Yes,Yes
TXN000247,289824,Uasin Gishu,Machakos,18,Send Money,61,2,Yes,Yes,1,No,Yes
TXN000248,469178,Kiambu,Nairobi,2,Till,68,30,Yes,Yes,3,No,Yes
TXN000249,471548,Nakuru,Meru,4,Withdraw,70,19,Yes,Yes,5,Yes,Yes
TXN000250,487047,Uasin Gishu,Kisumu,22,Send Money,10,10,Yes,Yes,6,No,Yes
TXN000251,262609,Mombasa,Machakos,19,Withdraw,96,12,Yes,Yes,6,Yes,Yes
TXN000253,97430,Mombasa,Mombasa,8,Paybill,88,19,No,Yes,4,Yes,Yes
TXN000254,199279,Mombasa,Mombasa,0,Till,92,26,Yes,No,5,No,Yes
TXN000257,408559,Kisumu,Kiambu,9,Till,11,24,Yes,Yes,6,Yes,Yes
TXN000258,258588,Kiambu,Kakamega,2,Till,19,3,Yes,No,4,No,Yes
TXN000259,132013,Kisumu,Kiambu,0,Withdraw,32,24,No,Yes,7,Yes,Yes
TXN000261,168170,Uasin Gishu,Machakos,9,Withdraw,78,23,Yes,No,5,Yes,Yes
TXN000263,310547,Kiambu,Mombasa,13,Withdraw,70,6,Yes,No,3,No,Yes
TXN000265,305313,Mombasa,Nakuru,21,Till,52,18,No,Yes,5,Yes,Yes
TXN000266,87259,Mombasa,Nairobi,3,Till,83,20,Yes,No,5,No,Yes
TXN000267,116442,Kakamega,Meru,22,Paybill,66,24,Yes,No,5,No,Yes
TXN000268,180912,Mombasa,Kisumu,11,Till,4,16,Yes,No,6,Yes,Yes
TXN000269,179915,Mombasa,Kakamega,23,Withdraw,59,26,Yes,No,5,No,Yes
TXN000270,167250,Mombasa,Kisumu,23,Paybill,9,10,Yes,Yes,0,No,Yes
TXN000271,270579,Kakamega,Nakuru,12,Paybill,23,18,Yes,No,8,No,Yes
TXN000278,256763,Machakos,Nairobi,15,Paybill,37,5,Yes,No,7,Yes,Yes
TXN000285,279118,Meru,Kiambu,16,Send Money,36,20,Yes,No,4,No,Yes
TXN000286,71137,Kisumu,Nakuru,4,Till,97,26,No,Yes,4,Yes,Yes
TXN000288,332253,Machakos,Kakamega,15,Till,102,29,Yes,No,8,No,Yes
TXN000289,305162,Nyeri,Uasin Gishu,6,Withdraw,1,28,Yes,No,5,Yes,Yes
TXN000291,413348,Nairobi,Mombasa,5,Withdraw,44,29,Yes,Yes,1,No,Yes
TXN000292,239396,Kiambu,Mombasa,20,Till,1,14,Yes,Yes,4,Yes,Yes
TXN000293,131326,Nakuru,Uasin Gishu,20,Send Money,11,12,Yes,Yes,6,No,Yes
TXN000295,4919,Kakamega,Mombasa,7,Withdraw,2,23,No,Yes,6,Yes,Yes
TXN000296,46885,Kiambu,Kisumu,12,Paybill,94,26,Yes,Yes,5,No,Yes
TXN000297,336420,Machakos,Nakuru,20,Paybill,87,5,Yes,Yes,2,No,Yes
TXN000299,184355,Nakuru,Nyeri,19,Till,55,11,Yes,Yes,4,Yes,Yes
TXN000300,408454,Uasin Gishu,Kiambu,20,Send Money,89,1,No,Yes,8,Yes,Yes
TXN000301,410987,Nakuru,Kakamega,20,Send Money,115,26,Yes,No,6,Yes,Yes
TXN000303,399938,Kiambu,Nakuru,1,Send Money,61,25,Yes,Yes,1,Yes,Yes
TXN000305,145523,Uasin Gishu,Meru,20,Send Money,11,10,Yes,Yes,2,No,Yes
TXN000306,162668,Uasin Gishu,Mombasa,14,Send Money,90,14,Yes,Yes,3,Yes,Yes
TXN000307,162207,Nairobi,Kisumu,15,Till,86,24,Yes,Yes,0,Yes,Yes
TXN000308,274255,Kiambu,Mombasa,0,Till,67,26,No,Yes,5,Yes,Yes
TXN000311,119799,Nairobi,Kakamega,11,Withdraw,95,17,Yes,Yes,0,Yes,Yes
TXN000312,482513,Nakuru,Uasin Gishu,23,Till,20,6,Yes,No,3,No,Yes
TXN000313,142267,Kisumu,Nakuru,16,Send Money,106,3,No,Yes,8,Yes,Yes
TXN000315,193469,Meru,Kakamega,6,Paybill,26,10,No,Yes,7,No,Yes
TXN000316,78990,Nairobi,Machakos,0,Withdraw,1,30,No,Yes,3,No,Yes
TXN000317,445173,Uasin Gishu,Kakamega,1,Paybill,95,24,No,Yes,3,Yes,Yes
TXN000318,373160,Machakos,Kakamega,23,Send Money,36,3,Yes,Yes,8,No,Yes
TXN000321,71411,Kakamega,Kakamega,10,Withdraw,100,25,Yes,Yes,1,Yes,Yes
TXN000322,63350,Kiambu,Mombasa,2,Paybill,69,12,Yes,No,4,No,Yes
TXN000323,423463,Mombasa,Nakuru,11,Withdraw,88,10,Yes,Yes,5,Yes,Yes
TXN000328,430849,Kisumu,Machakos,6,Paybill,93,13,No,Yes,6,No,Yes
TXN000329,144219,Kakamega,Uasin Gishu,17,Withdraw,36,15,Yes,Yes,3,No,Yes
TXN000332,203673,Kiambu,Nairobi,15,Till,35,6,Yes,No,3,Yes,Yes
TXN000333,402096,Kiambu,Nyeri,23,Send Money,75,8,Yes,Yes,3,Yes,Yes
TXN000335,479238,Nyeri,Kiambu,5,Withdraw,76,1,No,Yes,3,No,Yes
TXN000338,406041,Meru,Mombasa,10,Till,15,28,No,Yes,5,No,Yes
TXN000340,348980,Kisumu,Kisumu,23,Send Money,76,27,Yes,No,4,No,Yes
TXN000342,491144,Machakos,Kisumu,20,Send Money,64,5,No,Yes,3,No,Yes
TXN000344,183803,Kakamega,Uasin Gishu,5,Withdraw,33,26,Yes,Yes,0,No,Yes
TXN000347,89234,Machakos,Meru,19,Withdraw,114,13,Yes,Yes,8,Yes,Yes
TXN000354,44985,Uasin Gishu,Nyeri,13,Withdraw,86,12,No,Yes,8,Yes,Yes
TXN000356,63112,Kisumu,Nairobi,13,Send Money,97,15,Yes,Yes,3,Yes,Yes
TXN000357,358204,Mombasa,Uasin Gishu,17,Withdraw,56,7,Yes,No,5,Yes,Yes
TXN000359,297108,Nyeri,Machakos,13,Till,76,19,Yes,Yes,1,No,Yes
TXN000364,398243,Mombasa,Kiambu,22,Withdraw,67,28,No,Yes,8,Yes,Yes
TXN000365,71169,Nairobi,Nakuru,1,Withdraw,100,28,Yes,Yes,3,Yes,Yes
TXN000366,26557,Nyeri,Uasin Gishu,20,Send Money,118,12,Yes,No,5,No,Yes
TXN000368,180535,Uasin Gishu,Nairobi,5,Paybill,21,27,No,Yes,4,Yes,Yes
TXN000369,449423,Nyeri,Nairobi,21,Send Money,29,21,Yes,Yes,4,No,Yes
TXN000370,248613,Meru,Kiambu,22,Till,117,5,Yes,Yes,3,No,Yes
TXN000375,212176,Nyeri,Kakamega,21,Till,50,24,Yes,Yes,5,Yes,Yes
TXN000376,266029,Kakamega,Kisumu,23,Till,39,28,Yes,Yes,4,Yes,Yes
TXN000379,454289,Uasin Gishu,Nyeri,9,Withdraw,82,19,Yes,No,3,Yes,Yes
TXN000380,28394,Uasin Gishu,Meru,14,Paybill,112,28,Yes,Yes,3,No,Yes
TXN000381,165926,Kisumu,Machakos,20,Send Money,111,23,Yes,Yes,7,No,Yes
TXN000384,498159,Nakuru,Nakuru,22,Till,2,29,No,Yes,0,Yes,Yes
TXN000387,497119,Kisumu,Nakuru,23,Send Money,117,30,No,Yes,3,Yes,Yes
TXN000389,311437,Uasin Gishu,Kakamega,12,Send Money,7,22,Yes,Yes,0,Yes,Yes
TXN000390,286983,Uasin Gishu,Mombasa,21,Till,33,16,Yes,Yes,0,No,Yes
TXN000392,104198,Kiambu,Kisumu,1,Withdraw,78,7,No,Yes,5,No,Yes
TXN000394,78244,Kakamega,Kiambu,8,Withdraw,12,25,Yes,Yes,4,Yes,Yes
TXN000395,26306,Machakos,Uasin Gishu,23,Send Money,13,27,Yes,Yes,4,No,Yes
TXN000396,49856,Machakos,Machakos,14,Till,109,25,Yes,Yes,2,Yes,Yes
TXN000400,253322,Mombasa,Kiambu,20,Till,118,16,Yes,No,7,Yes,Yes
TXN000401,6530,Uasin Gishu,Nakuru,15,Till,91,28,Yes,No,8,Yes,Yes
TXN000402,348025,Nairobi,Kisumu,16,Withdraw,87,21,No,Yes,8,Yes,Yes
TXN000403,446675,Nakuru,Machakos,8,Send Money,64,28,Yes,Yes,7,No,Yes
TXN000406,18836,Kakamega,Machakos,11,Send Money,72,18,Yes,Yes,4,Yes,Yes
TXN000408,398152,Nyeri,Nyeri,11,Send Money,85,8,Yes,No,5,No,Yes
TXN000410,63355,Machakos,Mombasa,13,Send Money,120,28,No,Yes,7,Yes,Yes
TXN000411,485869,Kakamega,Nairobi,16,Send Money,82,27,Yes,No,7,Yes,Yes
TXN000413,264348,Machakos,Kiambu,14,Paybill,113,13,No,Yes,4,No,Yes
TXN000415,360032,Mombasa,Machakos,17,Withdraw,45,30,Yes,Yes,8,No,Yes
TXN000417,76243,Kiambu,Kiambu,4,Send Money,7,22,Yes,Yes,4,Yes,Yes
TXN000418,362120,Mombasa,Meru,21,Paybill,101,10,Yes,Yes,5,No,Yes
TXN000419,389288,Nairobi,Uasin Gishu,12,Withdraw,83,18,No,Yes,8,No,Yes
TXN000420,413247,Meru,Kakamega,7,Till,88,11,Yes,Yes,4,Yes,Yes
TXN000421,395943,Kisumu,Mombasa,5,Paybill,76,18,Yes,Yes,4,No,Yes
TXN000422,385443,Nyeri,Kiambu,4,Paybill,66,4,No,Yes,6,No,Yes
TXN000423,306226,Nairobi,Kisumu,10,Send Money,109,9,Yes,No,7,Yes,Yes
TXN000427,233707,Mombasa,Uasin Gishu,8,Till,31,29,Yes,Yes,5,No,Yes
TXN000429,497186,Uasin Gishu,Mombasa,6,Withdraw,13,6,Yes,Yes,3,Yes,Yes
TXN000430,339034,Nairobi,Mombasa,2,Send Money,105,3,Yes,Yes,7,No,Yes
TXN000431,93369,Uasin Gishu,Kakamega,20,Withdraw,102,9,Yes,Yes,4,No,Yes
TXN000432,227079,Meru,Mombasa,23,Send Money,41,1,No,Yes,8,Yes,Yes
TXN000433,367514,Meru,Mombasa,9,Withdraw,109,3,No,Yes,4,No,Yes
TXN000435,332472,Mombasa,Nairobi,0,Withdraw,19,10,No,Yes,8,Yes,Yes
TXN000436,281672,Uasin Gishu,Nyeri,4,Paybill,71,3,No,Yes,5,Yes,Yes
TXN000438,338045,Nakuru,Meru,15,Till,71,3,No,Yes,4,Yes,Yes
TXN000439,187293,Nakuru,Machakos,15,Withdraw,17,22,Yes,Yes,4,Yes,Yes
TXN000440,172197,Uasin Gishu,Kisumu,0,Till,79,22,No,Yes,5,No,Yes
TXN000443,138060,Meru,Meru,12,Paybill,94,29,Yes,Yes,0,Yes,Yes
TXN000445,70242,Nakuru,Meru,21,Paybill,60,17,Yes,No,5,Yes,Yes
TXN000447,399280,Nairobi,Nakuru,16,Till,63,8,Yes,No,5,Yes,Yes
TXN000449,437763,Meru,Mombasa,16,Till,95,9,Yes,No,6,No,Yes
TXN000451,230683,Kisumu,Kisumu,11,Send Money,22,8,Yes,No,3,Yes,Yes
TXN000452,346661,Kakamega,Nakuru,18,Paybill,30,14,No,Yes,7,No,Yes
TXN000453,339400,Meru,Meru,5,Paybill,107,14,Yes,Yes,0,Yes,Yes
TXN000454,330110,Kisumu,Nyeri,12,Send Money,66,2,Yes,Yes,2,No,Yes
TXN000455,460641,Meru,Kakamega,15,Paybill,93,24,No,Yes,3,No,Yes
TXN000456,115059,Kisumu,Machakos,14,Send Money,107,14,Yes,Yes,8,No,Yes
TXN000457,120538,Nyeri,Nyeri,21,Withdraw,49,13,Yes,Yes,0,Yes,Yes
TXN000458,433381,Nyeri,Nyeri,3,Send Money,20,20,Yes,Yes,7,Yes,Yes
TXN000459,252883,Machakos,Nairobi,22,Withdraw,85,5,Yes,No,8,No,Yes
TXN000462,272554,Mombasa,Kisumu,13,Till,1,13,Yes,No,6,No,Yes
TXN000465,392120,Machakos,Nyeri,19,Send Money,30,15,Yes,Yes,3,No,Yes
TXN000466,84323,Meru,Uasin Gishu,2,Send Money,50,21,Yes,Yes,2,No,Yes
TXN000467,137985,Meru,Nyeri,9,Send Money,29,12,Yes,Yes,6,No,Yes
TXN000468,495877,Nakuru,Nyeri,9,Paybill,100,27,Yes,No,7,Yes,Yes
TXN000469,17670,Nakuru,Nairobi,5,Send Money,101,20,Yes,Yes,0,No,Yes
TXN000473,263855,Kakamega,Uasin Gishu,18,Withdraw,38,11,Yes,No,8,No,Yes
TXN000475,200680,Machakos,Nyeri,17,Send Money,82,26,Yes,Yes,5,No,Yes
TXN000478,457618,Kisumu,Mombasa,3,Send Money,34,7,Yes,Yes,3,No,Yes
TXN000479,354370,Meru,Machakos,15,Till,85,16,Yes,Yes,7,No,Yes
TXN000482,361394,Machakos,Meru,8,Paybill,2,1,Yes,No,1,No,Yes
TXN000485,301983,Uasin Gishu,Nakuru,4,Paybill,88,8,Yes,No,3,No,Yes
TXN000486,248031,Nyeri,Nyeri,23,Till,104,1,Yes,No,7,Yes,Yes
TXN000487,411790,Kisumu,Nairobi,6,Till,63,10,No,Yes,6,Yes,Yes
TXN000488,249893,Machakos,Machakos,17,Till,108,21,Yes,No,5,No,Yes
TXN000489,180478,Kiambu,Machakos,10,Withdraw,3,14,Yes,No,3,Yes,Yes
TXN000490,406239,Kisumu,Kisumu,20,Till,95,15,Yes,No,4,No,Yes
TXN000493,217099,Mombasa,Nakuru,5,Withdraw,22,6,Yes,Yes,3,No,Yes
TXN000496,68877,Machakos,Kakamega,14,Till,68,27,Yes,Yes,0,No,Yes
TXN000497,287645,Machakos,Kakamega,17,Paybill,57,5,Yes,No,6,No,Yes
TXN000499,274418,Nyeri,Nairobi,22,Withdraw,105,25,Yes,No,4,No,Yes
TXN000500,496528,Meru,Nakuru,0,Till,97,16,No,Yes,6,No,Yes
TXN000502,41578,Uasin Gishu,Nakuru,2,Paybill,55,21,Yes,No,4,No,Yes
TXN000504,26071,Kisumu,Kakamega,23,Send Money,69,1,Yes,Yes,4,No,Yes
TXN000505,122109,Uasin Gishu,Kiambu,15,Till,12,5,Yes,No,3,No,Yes
TXN000507,284839,Mombasa,Nakuru,12,Withdraw,61,6,Yes,No,6,Yes,Yes
TXN000509,490896,Kiambu,Nakuru,11,Send Money,42,6,Yes,Yes,4,No,Yes
TXN000510,452855,Nairobi,Kisumu,8,Send Money,86,7,Yes,Yes,6,No,Yes
TXN000511,207567,Machakos,Mombasa,7,Paybill,102,8,Yes,Yes,7,Yes,Yes
TXN000517,406906,Nakuru,Nyeri,21,Withdraw,80,8,No,Yes,8,No,Yes
TXN000519,23001,Kakamega,Nakuru,3,Send Money,107,5,Yes,Yes,3,Yes,Yes
TXN000522,431028,Mombasa,Kiambu,2,Paybill,48,26,Yes,No,8,Yes,Yes
TXN000523,272409,Nyeri,Nakuru,18,Paybill,13,4,Yes,No,3,Yes,Yes
TXN000524,292824,Uasin Gishu,Mombasa,5,Paybill,96,18,No,Yes,5,No,Yes
TXN000525,288390,Machakos,Machakos,17,Till,52,17,No,Yes,8,No,Yes
TXN000528,466836,Nairobi,Kiambu,17,Paybill,39,1,No,Yes,3,No,Yes
TXN000530,134395,Machakos,Kakamega,5,Withdraw,104,10,Yes,No,3,Yes,Yes
TXN000532,461314,Uasin Gishu,Nairobi,9,Send Money,105,14,No,Yes,3,Yes,Yes
TXN000533,167463,Kisumu,Nairobi,21,Withdraw,70,19,Yes,No,8,Yes,Yes
TXN000534,233681,Uasin Gishu,Kisumu,4,Till,97,20,Yes,Yes,6,No,Yes
